0,7316,1906,0.6899265477439664,0.9111111111111111,0.9285714285714286
1,6740,2482,0.6526994359387591,0.8653846153846154,0.9411764705882353
2,7264,1958,0.6767109295199183,0.9069767441860465,1.0
3,7234,1988,0.704225352112676,0.9090909090909091,0.8666666666666667
4,6492,2730,0.6395604395604395,0.851063829787234,0.9230769230769231
5,7040,2182,0.6764436296975253,0.9024390243902439,1.0
6,6526,2696,0.5893916913946587,0.7142857142857143,0.6923076923076923
7,6906,2316,0.6010362694300518,0.7555555555555555,0.8571428571428571
8,7262,1960,0.621938775510204,0.7446808510638298,0.8333333333333334
9,7004,2218,0.6172227231740307,0.7317073170731707,0.75
10,7352,1870,0.7304812834224599,1.0,1.0
11,6622,2600,0.6388461538461538,0.7948717948717948,0.8461538461538461
12,7198,2024,0.6847826086956522,0.9302325581395349,1.0
13,7254,1968,0.671239837398374,0.9038461538461539,0.9285714285714286
14,6962,2260,0.6579646017699115,0.8333333333333334,0.9230769230769231
15,7290,1932,0.6490683229813664,0.8611111111111112,0.8333333333333334
16,6720,2502,0.6522781774580336,0.875,0.8571428571428571
17,6886,2336,0.670804794520548,0.8666666666666667,1.0
18,6400,2822,0.6913536498936924,0.9166666666666666,0.9285714285714286
19,6836,2386,0.6592623637887678,0.9024390243902439,1.0
