seed,exp_num,retinal_quadrant,experimenter,animgender,animgender_a,animgender_b,age_week,age_week_a,age_week_b,age_week_diff,field_0_distance_um,field_1_distance_um,field_2_distance_um,field_distance_um_mean,field_distance_um_max,date_a,date_b,train_field_id,test_field_id,num_train,num_test,num_train_fields,num_test_fields,num_train_retinas,num_test_retinas,train_accuracy_cell,test_accuracy_cell,test_accuracy_field,test_accuracy_retina
0,1,any,Cai,any,female,female,,9.0,15.0,6.0,1292.3511389711389,1788.1601433876106,,1540.2556411793748,1788.1601433876106,2022-07-19,2023-08-29,0,1,132,66,2,2,2,2,1.0,0.7727272727272727,1.0,1.0
0,1,any,Cai,any,female,female,,9.0,15.0,6.0,1292.3511389711389,1788.1601433876106,,1540.2556411793748,1788.1601433876106,2022-07-19,2023-08-29,1,0,66,132,2,2,2,2,1.0,0.803030303030303,1.0,1.0
0,1,any,Cai,any,female,male,,9.0,17.0,8.0,238.77582875994796,892.2163293730955,,565.4960790665217,892.2163293730955,2022-07-19,2023-09-05,0,1,110,66,2,2,2,2,1.0,0.6666666666666666,0.5,0.5
0,1,any,Cai,any,female,male,,9.0,17.0,8.0,238.77582875994796,892.2163293730955,,565.4960790665217,892.2163293730955,2022-07-19,2023-09-05,1,0,66,110,2,2,2,2,1.0,0.5363636363636364,0.5,0.5
0,1,any,Cai,any,female,male,,9.0,18.0,9.0,1353.5603126569574,893.2042655518388,,1123.382289104398,1353.5603126569574,2022-07-21,2022-07-27,0,1,60,62,2,2,2,2,1.0,0.6290322580645161,0.5,0.5
0,1,any,Cai,any,female,male,,9.0,18.0,9.0,1353.5603126569574,893.2042655518388,,1123.382289104398,1353.5603126569574,2022-07-21,2022-07-27,1,0,62,60,2,2,2,2,1.0,0.5666666666666667,0.5,0.5
0,1,any,Cai,any,female,male,,9.0,7.0,2.0,431.2272834596623,156.47785785854813,,293.85257065910525,431.2272834596623,2022-07-21,2022-08-17,0,1,60,62,2,2,2,2,1.0,0.532258064516129,1.0,1.0
0,1,any,Cai,any,female,male,,9.0,7.0,2.0,431.2272834596623,156.47785785854813,,293.85257065910525,431.2272834596623,2022-07-21,2022-08-17,1,0,62,60,2,2,2,2,1.0,0.5666666666666667,1.0,1.0
0,1,any,Cai,any,female,female,,9.0,11.0,2.0,1166.0163136080043,1483.9178953028365,,1324.9671044554204,1483.9178953028365,2022-07-21,2022-09-21,0,1,60,62,2,2,2,2,1.0,0.46774193548387094,0.5,0.5
0,1,any,Cai,any,female,female,,9.0,11.0,2.0,1166.0163136080043,1483.9178953028365,,1324.9671044554204,1483.9178953028365,2022-07-21,2022-09-21,1,0,62,60,2,2,2,2,1.0,0.6,0.5,0.5
